name,age,team,play_year,country,打,投,守備位置,出賽數,守備機會,刺殺,助殺,失誤,雙殺,三殺,守備率
朱育賢85,25,Lamigo,2016,中華民國,左打,左投,一壘手,43,323,285,36,2,29,0,0.994
朱育賢85,25,Lamigo,2016,中華民國,左打,左投,外野手,27,50,47,2,1,0,0,0.980
朱育賢85,26,Lamigo,2017,中華民國,左打,左投,外野手,72,132,126,3,3,0,0,0.977
朱育賢85,26,Lamigo,2017,中華民國,左打,左投,一壘手,39,255,240,14,1,31,0,0.996
朱育賢85,27,Lamigo,2018,中華民國,左打,左投,外野手,56,90,86,1,3,1,0,0.967
朱育賢85,27,Lamigo,2018,中華民國,左打,左投,一壘手,40,274,251,19,4,33,0,0.985
朱育賢85,28,Lamigo,2019,中華民國,左打,左投,外野手,73,154,143,6,5,1,0,0.968
朱育賢85,28,Lamigo,2019,中華民國,左打,左投,一壘手,44,316,298,15,3,25,0,0.991
朱育賢85,29,樂天桃猿,2020,中華民國,左打,左投,外野手,69,127,121,5,1,1,0,0.992
朱育賢85,29,樂天桃猿,2020,中華民國,左打,左投,一壘手,17,104,100,2,2,12,0,0.981
朱育賢85,30,樂天桃猿,2021,中華民國,左打,左投,外野手,15,28,27,0,1,0,0,0.964
朱育賢85,30,樂天桃猿,2021,中華民國,左打,左投,一壘手,1,4,4,0,0,1,0,1.000
